Chapter,Summary
Chapter 1,"**Chapter Summary: HIV Testing Services and Linkage to Treatment and Prevention**

- **HIV Testing Services (HTS):** This chapter focuses on the critical role of HTS in linking individuals to HIV treatment and prevention services, including voluntary medical male circumcision (VMMC), pre-exposure prophylaxis (PrEP), and post-exposure prophylaxis (PEP). It emphasizes the importance of ethical testing practices adhering to the six Cs: Consent, Confidentiality, Counselling, Correct results, Connection to care, and Creating an enabling environment.
  
- **Targeted Testing:** A strategic shift towards targeted HIV testing is highlighted, involving index client listing, HIV self-testing (HIVST), and screening tools to identify at-risk individuals, with exceptions for PMTCT (Prevention of Mother-To-Child Transmission) and key populations.

- **Testing Settings:** HTS is delivered in facility-based and community-based settings. Facility-based testing prioritizes high-risk individuals, while community-based testing targets children, partners of index clients, and key populations.

- **HTS Strategies:** Key strategies include HIVST, index testing (partner notification services), voluntary counselling and testing (VCT), and the social network strategy (SNS) to extend testing to at-risk network members.

- **Special Populations:** Recommendations are provided for various populations, including infants, children, adolescents, pregnant and breastfeeding women, and key populations. Unique scenarios include birth testing for infants of HIV-positive mothers and retesting protocols for HIV-negative individuals.

- **Testing Algorithms:** Detailed algorithms for early infant diagnosis, older children, adolescents, and adults are provided, emphasizing serial testing and the use of rapid HIV antibody testing kits.

- **Linkage to Care:** Emphasizes the importance of immediate linkage to care for those testing positive, with systems in place to facilitate this process, including peer support and follow-up mechanisms.

- **Retesting Recommendations:** Guidelines for retesting HIV-negative individuals based on risk exposure and specific population needs are outlined.

- **Inconclusive Results:** Addresses handling inconclusive HIV test results, emphasizing the need for retesting and counselling to manage client expectations and stress.

- **Patients on ART with Discrepant Results:** Provides guidance on managing patients on ART who present with a new negative HIV antibody test, including the use of DNA PCR for confirmation.

This chapter is distinct in its comprehensive approach to HTS, emphasizing targeted testing, ethical practices, and robust linkage to care systems, with specific attention to diverse populations and unique testing scenarios."
Chapter 2,"**Chapter Summary: HIV Testing, Initial Evaluation, and Comprehensive Care for PLHIV**

- **HIV Testing Services (HTS):** Emphasizes voluntary, ethical testing with a focus on consent, confidentiality, and counselling. Testing is recommended in both facility-based and community-based settings, with targeted approaches like index client listing and self-testing. Serial testing with rapid HIV antibody kits is used for diagnosis in individuals over 18 months.

- **Initial Evaluation and Follow-up:** Involves CD4 monitoring for baseline assessment, suspected treatment failure, and specific prophylaxis scenarios. Advanced HIV Disease (AHD) is defined by CD4 count <200 cells/mm³ or WHO stage 3/4. Routine viral load (VL) monitoring is detailed for various populations, including pregnant women and those undergoing drug substitution.

- **Standard Package of Care:** Includes antiretroviral therapy (ART) for all PLHIV, irrespective of CD4 count or clinical stage, with exceptions for cryptococcal or TB meningitis. Comprehensive care covers education, counselling, screening for opportunistic infections, and mental health support. Cotrimoxazole Preventive Therapy (CPT) is limited to specific subpopulations.

- **Reproductive Health and Non-Communicable Diseases:** Regular screening for STIs, cervical cancer, and other non-communicable diseases is recommended. Pregnancy status and contraception needs should be assessed at every visit.

- **Mental Health and Nutrition Services:** Screening for depression, anxiety, and substance use is advised, with support structures for mental well-being. Nutritional assessment and support are tailored to individual needs.

- **Prevention of Infections:** Vaccinations, including COVID-19, are recommended per national guidelines. TB screening and preventive therapy are emphasized, with specific protocols for TB/HIV co-infection management.

- **Co-infections and Prophylaxis:** Screening and management guidelines for HBV and HCV co-infections are provided. Post-exposure prophylaxis (PEP) and pre-exposure prophylaxis (PrEP) regimens are outlined, with specific recommendations for people who inject drugs (PWID).

- **Unique Recommendations:** Differentiated care based on initial evaluation and follow-up, adherence support tailored to individual needs, and specific ART regimens for various populations, including infants and pregnant women. Special scenarios include management of low-level viremia and treatment failure.

This chapter provides a comprehensive framework for the management of PLHIV, emphasizing individualized care, prevention, and early intervention across diverse populations and clinical scenarios."
Chapter 3,"**Summary of Annex 17: HTS Adult Screening Tool Enhancement**

- **Purpose**: This chapter focuses on enhancing the HIV Testing Services (HTS) screening tool for adults, specifically addressing risk assessment and eligibility for HIV testing.
- **Key Topics**: 
  - **HIV Testing History**: Questions about previous HIV tests, results, and antiretroviral therapy (ART) initiation.
  - **Behavioral Risk Assessment**: Evaluates risk factors such as unprotected sex, unknown partner status, new or multiple sexual partners, intergenerational relationships, and symptoms/history of sexually transmitted infections (STIs).
  - **Clinical Risk Assessment**: Considers symptoms of recurrent illnesses, acute or chronic febrile illnesses, and other conditions suggestive of HIV.
  - **Possible Risk Exposures**: Includes non-medical procedures like scarification, plastic tooth extraction, circumcision, and uvulectomy.
- **Populations**: Targets adults, with specific considerations for females who are pregnant.
- **Interventions**: Determines eligibility for HIV testing based on risk and clinical assessments.
- **Unique Recommendations**: 
  - Individuals with noted risks or clinical assessments suggesting HIV are eligible for testing.
  - Those without noted risks or suggestive assessments are deemed not eligible for testing.
- **Keywords and Synonyms**: HIV screening, ART initiation, STI symptoms, febrile illness, non-medical procedures, risk assessment, eligibility criteria, intergenerational relationships, defilement, scarification, uvulectomy.

This chapter is distinct in its detailed approach to assessing both behavioral and clinical risks to determine HIV testing eligibility, emphasizing a comprehensive evaluation of potential HIV acquisition risks."
Chapter 4,"**Summary of Annex 12 A: Use of Nucleoside & Nucleotide Reverse Transcriptase Inhibitors in Adults**

- **Drugs Discussed**: Zidovudine (AZT/ZDV), Lamivudine (3TC), Abacavir (ABC), Emtricitabine (FTC), Tenofovir disoproxil fumarate (TDF), Tenofovir alafenamide (TAF).
- **Major Clinical Topics**: 
  - **Dosing and Administration**: Specific dosages for adults, typically twice daily (BD) or once daily (OD), with no food restrictions except for alcohol with ABC.
  - **Side Effects**: Common side effects include lactic acidosis, hepatomegaly with steatosis, gastrointestinal issues, and hypersensitivity reactions (notably with ABC).
  - **Special Considerations**: 
    - **Zidovudine**: Monitor for anemia within the first 3 months.
    - **Lamivudine and Emtricitabine**: Effective against hepatitis B; monitor for HBV exacerbation upon discontinuation.
    - **Abacavir**: Educate on hypersensitivity; avoid alcohol.
    - **Tenofovir (TDF and TAF)**: Monitor renal function; avoid in patients with creatinine clearance <30ml/min.
- **Unique Recommendations**: 
  - **Abacavir Hypersensitivity**: Once hypersensitivity occurs, do not re-challenge.
  - **Drug Interactions**: Avoid TDF with ddI and in triple nucleoside combinations with 3TC+ddI/ABC. TAF levels are affected by RTV and cobicistat.
- **Populations**: Adults with HIV, with specific considerations for those with renal impairment or co-infection with hepatitis B.
- **Interventions**: Regular monitoring of blood counts, liver function, and renal function; patient education on drug-specific side effects and interactions.

This chapter is distinct in its focus on nucleoside and nucleotide reverse transcriptase inhibitors (NRTIs), detailing their use, side effects, and specific patient management strategies, including the management of co-infections and drug interactions."
Chapter 5,"**Chapter 4: Standard Package of Care for People Living with HIV (PLHIV)**

- **Core Services**: The chapter outlines a comprehensive package of care for PLHIV, including antiretroviral therapy (ART), Positive Health, Dignity and Prevention (PHDP) services, gender-based violence (GBV) and intimate-partner violence (IPV) screening, HIV education/counseling, opportunistic infection screening/prevention, reproductive health services, non-communicable disease (NCD) management, mental health support, nutritional services, and infection prevention.
  
- **Antiretroviral Therapy (ART)**: ART is recommended for all PLHIV, regardless of WHO stage, CD4 count, age, pregnancy status, or comorbidities. Initiation should occur as soon as possible after diagnosis.

- **PHDP and GBV/IPV**: Emphasizes the health and rights of PLHIV, including risk reduction and support for GBV/IPV survivors. Screening for violence is integral, with specific protocols and support systems required.

- **Opportunistic Infections**: Includes cotrimoxazole preventive therapy (CPT) for specific populations, TB screening and preventive therapy, and cryptococcal meningitis management.

- **Reproductive Health**: Covers STI screening, family planning, and pre-conception counseling, with specific guidelines for discordant couples and maternal healthcare.

- **Non-Communicable Diseases (NCDs)**: Screening and management of hypertension, diabetes, dyslipidemia, and chronic kidney disease are included, with lifestyle modifications as a primary intervention.

- **Mental Health**: Screening and management of depression, anxiety, stress, trauma, and substance use disorders are emphasized, with tools like PHQ-9 and GAD-7 for assessment.

- **Nutritional Services**: Nutritional assessment, counseling, and support (NACS) are critical, with specific guidelines for managing malnutrition in children and adults.

- **Infection Prevention**: Immunizations, malaria prevention, and safe water, sanitation, and hygiene practices are recommended to reduce infection risk.

- **Unique Recommendations**: The chapter highlights the importance of a patient- and family-centered approach, addressing individual needs, and involving family in care decisions. Special scenarios include management of cotrimoxazole allergies and the use of dapsone as an alternative.

This chapter is distinct in its holistic approach to HIV care, integrating medical, psychological, and social support services to improve health outcomes for PLHIV."
Chapter 6,"- **Chapter Title**: Annex 5: Age-Appropriate Disclosure for Children and Adolescents
- **Focus**: This chapter provides guidelines on the process of disclosing an HIV diagnosis to children and adolescents, tailored to different age groups.
- **Age Groups and Disclosure Stages**:
  - **0-4 years**: No disclosure due to limited understanding.
  - **5-8 years**: Partial disclosure; HIV is explained in simple terms, such as describing the virus as a ""germ"" and CD4 cells as ""soldiers"" that need strengthening through medication.
  - **9-12 years**: Full disclosure; children are likely to have some knowledge of HIV from school and can understand their diagnosis.
- **Disclosure Process**:
  - **Stage 1**: Assess the child's social support system.
  - **Stage 2**: Evaluate the child's prior knowledge and correct any misconceptions.
  - **Stage 3**: Use imaginative exercises to gauge the child's reaction.
  - **Stage 4**: Disclose the HIV status, support parents in the process, and address the child's immediate concerns.
- **Post-Disclosure**:
  - Monitor the child's behavior and emotional state 1-2 weeks after disclosure.
  - Encourage storytelling and empowerment, possibly using a comic book.
  - Connect the child with support groups or peers who have undergone disclosure.
- **Unique Recommendations**: Emphasizes the importance of age-appropriate communication and ongoing support post-disclosure. Encourages the use of creative tools like storytelling to help children process their diagnosis.
- **Keywords**: HIV disclosure, children, adolescents, age-appropriate, CD4, social support, myths, misconceptions, storytelling, support groups, emotional support."
Chapter 7,"**Chapter 10: Antiretrovirals (ARVs) for Post-exposure Prophylaxis (PEP)**

- **Definition and Purpose of PEP**: Post-exposure prophylaxis (PEP) involves short-term antiretroviral treatment to prevent HIV infection following potential exposure. It is crucial to initiate PEP within 72 hours of exposure.
  
- **Populations and Scenarios**: PEP is applicable to healthcare workers exposed through needle stick injuries or contact with contaminated fluids, and individuals exposed through unprotected sex or sexual assault. Special considerations are given to children, adolescents, and breastfeeding women.

- **Recommended ARV Regimens**: Preferred regimens include a three-drug combination, typically TDF (tenofovir disoproxil fumarate) + 3TC (lamivudine) or FTC (emtricitabine) + DTG (dolutegravir). Alternatives include AZT (zidovudine) + 3TC + DTG or LPV/r (lopinavir/ritonavir) for those under 15 years and ATV/r (atazanavir/ritonavir) for those over 15 years.

- **Eligibility Criteria**: PEP is offered to HIV-negative individuals exposed within 72 hours to high-risk fluids (e.g., blood, semen, vaginal secretions). Exposures not requiring PEP include those involving tears, saliva, urine, or sweat.

- **Management and Follow-up**: Initial management includes risk counseling, HIV testing, and first aid for wounds. PEP should be administered for 28 days, with follow-up at 7, 14, 28 days, and 12 weeks. Laboratory tests (e.g., creatinine, Hb, HBsAg) should not delay PEP initiation.

- **Counseling and Support**: Emphasizes adherence, side effect management, risk reduction, and mental health support, especially for sexual assault survivors. Additional services include STI prophylaxis, emergency contraception, and tetanus vaccination.

- **Special Circumstances**: Breastfeeding is not contraindicated but requires risk-benefit discussion. Adolescents may face barriers due to parental consent requirements.

- **Prevention of HIV Exposure**: Infection prevention control (IPC) measures include using protective barriers, safe handling of sharps, and universal Hepatitis B vaccination for at-risk groups.

This chapter uniquely addresses the comprehensive management of PEP, including specific ARV regimens, eligibility criteria, and follow-up protocols, distinguishing it from other chapters in the HIV guideline collection."
Chapter 8,"**Chapter 12: People Who Inject Drugs (PWID) and HIV**

- **Key Populations and Access to Care**: This chapter emphasizes the importance of equitable access to antiretroviral therapy (ART) for people who inject drugs (PWID), a key population at increased risk for HIV, viral hepatitis (HBV, HCV), tuberculosis (TB), and sexually transmitted infections (STIs). It highlights the need for decentralized and integrated service delivery, including at drop-in centers and through medically assisted therapy.

- **Comprehensive Care Package**: PWID require a comprehensive package of harm reduction interventions, including HIV testing services (HTS), targeted education, condom provision, STI prevention and treatment, TB screening and treatment, and viral hepatitis management. Needle and syringe programs (NSPs) and opioid substitution therapy (OST) are critical components.

- **ART Recommendations**: ART should be initiated in all HIV-positive PWID regardless of clinical stage or CD4 count. The recommended first-line regimen is TDF + 3TC + DTG, with alternatives provided for specific scenarios. Special considerations are given for TB co-infection and drug-drug interactions, particularly with methadone and buprenorphine.

- **Adherence and Support**: Due to the risk of poor adherence, PWID benefit from intensive support, including OST, enhanced counseling, and daily witnessed ingestion (DWI) when available. Community outreach and peer-led interventions are effective in improving adherence and retention.

- **Drug-Drug Interactions**: The chapter details potential interactions between ART, methadone, buprenorphine, and other drugs, emphasizing the need for careful selection and monitoring to manage these interactions and avoid withdrawal symptoms.

- **Monitoring and Follow-Up**: Frequent monitoring is necessary to ensure adherence, manage adverse reactions, and screen for other substance use. The chapter underscores the importance of ongoing support and harm reduction interventions.

This chapter is distinct in its focus on the unique needs and challenges faced by PWID in the context of HIV care, offering specific recommendations and interventions tailored to this population."
Chapter 9,"**Summary of Annex 2: WHO Clinical Staging of HIV Infection in Adolescents and Adults**

- **Stage 1**: Characterized by asymptomatic presentation or Persistent Generalized Lymphadenopathy (PGL).
- **Stage 2**: Includes moderate unexplained weight loss (<10% body weight), minor mucocutaneous manifestations (e.g., seborrheic dermatitis, papular pruritic eruptions, fungal nail infections, recurrent oral ulcerations, angular cheilitis), herpes zoster, and recurrent upper respiratory tract infections (e.g., sinusitis, tonsillitis, bronchitis, otitis media, pharyngitis).
- **Stage 3**: Features unexplained severe weight loss (>10% body weight), chronic diarrhea (>1 month), persistent fever (>1 month), persistent oral candidiasis, oral hairy leukoplakia, pulmonary tuberculosis, severe bacterial infections (e.g., pneumonia, empyema, pyomyositis, bone/joint infection, meningitis, bacteraemia), acute necrotizing ulcerative stomatitis/gingivitis/periodontitis, and unexplained anemia, neutropenia, or chronic thrombocytopenia.
- **Stage 4**: Divided into conditions diagnosable by clinical signs/simple investigations and those requiring confirmatory testing. Includes HIV wasting syndrome, Pneumocystis jiroveci pneumonia (PCP), recurrent severe bacterial pneumonia, cryptococcal meningitis, cerebral toxoplasmosis, chronic herpes simplex infections, Kaposi's sarcoma (KS), HIV encephalopathy, and extrapulmonary tuberculosis (EPTB). Conditions needing confirmatory tests include cryptosporidiosis, isosporiasis, extrapulmonary cryptococcosis, disseminated non-tuberculous mycobacterial infection, CMV retinitis, progressive multifocal leukoencephalopathy (PML), disseminated mycoses, esophageal/airway candidiasis, non-typhoid salmonella septicaemia, cerebral or B cell Non-Hodgkin's Lymphoma, invasive cervical cancer, visceral leishmaniasis, and symptomatic HIV-associated nephropathy or cardiomyopathy.

This chapter uniquely outlines the clinical criteria for staging HIV in adolescents and adults, providing a framework for diagnosis and management based on symptomatology and disease progression."
Chapter 10,"**Chapter 3: Initial Evaluation and Follow-up in HIV Care**

- **Eligibility for ART**: All people living with HIV (PLHIV) are eligible for antiretroviral therapy (ART) regardless of CD4 count, WHO stage, age, pregnancy status, or comorbidities. ART should begin as soon as the patient is ready, ideally within two weeks of diagnosis.
  
- **Patient Categorization**: Initial evaluation categorizes PLHIV as having advanced HIV disease (AHD) or presenting well. AHD is defined by a CD4 count <200 cells/mm³ or WHO stage III/IV. Patients with AHD require intensive management for opportunistic infections (OIs) and are at risk for immune reconstitution inflammatory syndrome (IRIS).

- **Initial Clinical Evaluation**: Includes comprehensive medical history, physical examination, and laboratory investigations. Key areas include history of tuberculosis (TB), current medications, drug allergies, psychosocial factors, sexual and reproductive health, and vital signs.

- **Laboratory Evaluation**: Baseline tests include HIV confirmation, CD4 count, viral load, serum cryptococcal antigen (sCrAg), TB-LAM, and others based on clinical indications. ART should not be delayed for unavailable tests.

- **Management of AHD**: Involves a package of care including ART initiation, OI management, and close monitoring for IRIS. Special attention is given to cryptococcal disease and TB, major contributors to mortality in AHD.

- **Follow-up Protocols**: Differentiated care models are used based on patient stability on ART. Initial follow-up is frequent, with adjustments based on clinical stability and viral suppression. Established patients may have less frequent visits.

- **Special Populations**: Children, adolescents, pregnant/breastfeeding women, and key populations require tailored care models to address unique challenges in adherence and viral suppression.

- **ART Distribution Models**: Includes facility-based and community-based options to minimize patient burden and optimize resource use. Models include fast-track refills, ART distribution groups, and community pharmacy distribution.

This chapter emphasizes the importance of early ART initiation, comprehensive initial evaluation, and tailored follow-up to improve outcomes for PLHIV."
Chapter 11,"**Annex 8: HIV Education and Adherence Counselling Content Guide**

- **Introduction and Session Objectives**: Emphasizes privacy, confidentiality, and understanding through simple language and analogies. Encourages patient engagement and comprehension checks.
  
- **HIV Basics**: Covers HIV (Human Immunodeficiency Virus) transmission methods (sexual contact, needles, blood exchange, mother-to-child) and the importance of family testing for early treatment and support.

- **Viral Load (VL)**: Describes VL as the amount of HIV in the body, measured by blood tests. Discusses the significance of achieving an ""undetectable"" VL and the implications of detectable VL on treatment efficacy.

- **CD4 Cells**: Explains CD4 cells' role in immune defense and how HIV reduces CD4 count, leading to opportunistic infections like tuberculosis and pneumonia. CD4 count is initially measured to assess infection risk.

- **Antiretroviral Therapy (ART)**: ART is a combination of drugs to lower HIV levels, allowing immune recovery. ART should start promptly, is lifelong, and does not cure HIV but reduces transmission risk when VL is undetectable.

- **Treatment Failure**: Occurs when ART is not taken correctly, leading to viral resistance. Emphasizes the importance of adherence to prevent resistance and the need for stronger, potentially less effective ART if failure occurs.

- **ART Side Effects**: Common side effects include headache, nausea, and fatigue. Patients should continue ART despite mild side effects and consult clinicians for severe reactions.

- **Adherence**: Critical for ART success, involving correct dosage, timing, and dietary considerations. Barriers include stigma, routine changes, and mental health issues. Strategies include disclosure, treatment supporters, and reminder systems.

- **Other Medications**: Includes cotrimoxazole preventive therapy (CPT) and tuberculosis preventive therapy (TPT) for additional infection prevention.

- **Nutrition**: Highlights the importance of good nutrition in supporting immune function and overall health in HIV management.

- **Follow-up and Readiness**: Details clinic visit frequency before and after ART initiation, readiness assessment, and management plans for ART initiation or delay.

This chapter uniquely focuses on comprehensive education and counseling strategies to enhance adherence and understanding of HIV management, addressing both medical and psychosocial aspects."
Chapter 12,"**Summary of Annex 3: Normal Developmental Milestones in Children**

- **Focus**: This chapter provides a detailed overview of normal developmental milestones in children from 3 to 18 months, emphasizing gross motor, fine motor skills, and associated warning signs.
  
- **Age-Specific Milestones**:
  - **3 Months**: 
    - *Gross Motor*: Head lag in pull-to-sit, propped sitting, head lifting in prone position.
    - *Fine Motor*: Hands open, unintentional rattle shaking, beginning of mouthing.
    - *Warning Signs*: No visual fixation, asymmetry in movement, floppy/stiff posture, failure to smile.
  - **6 Months**:
    - *Gross Motor*: No head lag, rolling, sitting unaided, weight-bearing on legs.
    - *Fine Motor*: Reaching for objects, playing with rattle.
    - *Warning Signs*: Floppiness, asymmetrical movement, poor response to sound.
  - **9 Months**:
    - *Gross Motor*: Sitting without support, beginning to crawl.
    - *Fine Motor*: Accurate vision, picking up objects.
    - *Warning Signs*: Inability to sit, persistent primitive reflexes.
  - **12 Months**:
    - *Gross Motor*: Walking with support, cruising, crawling.
    - *Fine Motor*: Pincer grasp, playing with toys.
    - *Warning Signs*: Inability to bear weight, abnormal grasp.
  - **15 Months**:
    - *Gross Motor*: Walking alone, climbing, squatting.
    - *Fine Motor*: Scribbling, turning pages.
    - *Warning Signs*: Not walking, abnormal posture.
  - **18 Months**:
    - *Gross Motor*: Running, jumping, kicking a ball.
    - *Fine Motor*: Building towers, scribbling, hand preference.
    - *Warning Signs*: Failure to walk, poor coordination, limited speech.

- **Keywords**: Developmental milestones, gross motor skills, fine motor skills, head lag, pincer grasp, cruising, crawling, walking, warning signs, asymmetry, floppy, stiff, primitive reflexes, hand preference, coordination, speech delay.

- **Unique Recommendations**: The chapter highlights specific warning signs at each age that may indicate developmental delays or abnormalities, providing clinicians with critical checkpoints for early intervention.

This chapter is distinct in its focus on pediatric developmental milestones, offering a comprehensive guide for assessing normal child development and identifying potential concerns."
Chapter 13,"**Summary of Annex 13: Drug-Drug Interactions in HIV Treatment**

- **Focus**: This chapter specifically addresses drug-drug interactions involving Non-Nucleoside Reverse Transcriptase Inhibitors (NNRTIs), Protease Inhibitors (PIs), and Integrase Strand Transfer Inhibitors (INSTIs) in the context of HIV treatment.
  
- **Key Drugs Discussed**:
  - **NNRTIs**: Nevirapine (NVP), Efavirenz (EFV)
  - **PIs**: Atazanavir (ATV), Ritonavir (RTV), Darunavir (DRV), Lopinavir (LPV)
  - **INSTIs**: Dolutegravir (DTG), Raltegravir (RAL)

- **Major Interactions**:
  - **Antiretrovirals**: 
    - NVP and EFV both decrease levels of Dolutegravir (DTG); co-administration is not recommended.
    - EFV decreases Atazanavir (ATV) and Darunavir (DRV) levels, potentially leading to resistance.
  - **Antifungals**: 
    - Voriconazole levels are significantly reduced by EFV; combination not recommended.
    - Fluconazole increases NVP levels, raising hepatotoxicity risk.
  - **Anti-mycobacterials**: 
    - Rifampicin decreases NVP and EFV levels; careful monitoring required if co-administered.
  - **Oral Contraceptives**: 
    - Both NVP and EFV reduce ethinyl estradiol levels; alternative contraceptive methods recommended.
  - **Lipid-lowering Agents**: 
    - EFV increases Simvastatin and Atorvastatin levels; dose adjustments needed.
  - **Anticonvulsants**: 
    - Carbamazepine, Phenobarbital, and Phenytoin reduce DTG levels; avoid or adjust DTG dose.
  - **Methadone**: 
    - EFV and NVP reduce methadone levels, often necessitating dose increases.

- **Special Recommendations**:
  - **DTG and Rifampicin**: Increase DTG dose to 50 mg twice daily when co-administered.
  - **Calcium Channel Blockers**: Metabolism induced by NNRTIs, requiring higher starting doses.
  - **Erectile Dysfunction Agents**: Use reduced doses of Sildenafil with PIs due to increased levels.

- **Unique Considerations**:
  - **INSTIs and Supplements**: Administer DTG separately from mineral supplements to avoid interaction.
  - **Monitoring**: Frequent monitoring for toxicity and efficacy is advised when combining these drugs with antifungals, anti-mycobacterials, and anticonvulsants.

This chapter provides detailed guidance on managing complex drug interactions in HIV treatment, emphasizing the need for dose adjustments and alternative therapies in specific scenarios."
