Chapter,Summary
Chapter 14,"**Chapter 8: TB/HIV Co-infection, Prevention, and Management**

- **Overview**: This chapter focuses on the prevention and management of tuberculosis (TB) in people living with HIV (PLHIV), emphasizing the importance of early TB identification, preventive therapy, and optimal treatment for both TB and HIV.
  
- **Key Topics**:
  - **TB Screening and Diagnosis**: Utilizes Intensified Case Finding (ICF) at every clinical visit for PLHIV, with symptom-based screening questions. GeneXpert is the preferred diagnostic test, with smear microscopy as an alternative.
  - **TB Preventive Therapy (TPT)**: Recommended for PLHIV without active TB, including children, adolescents, adults, and specific high-risk groups. TPT regimens include Rifapentine and Isoniazid (3HP) or Isoniazid (6H), with pyridoxine to prevent peripheral neuropathy.
  - **Drug Toxicities**: Management of adverse reactions such as peripheral neuropathy, drug-induced liver injury (DILI), and skin rash associated with TPT.
  - **ART for TB/HIV Co-infection**: Guidelines for initiating antiretroviral therapy (ART) in TB/HIV co-infected patients, including timing and preferred regimens, with special considerations for drug interactions and treatment failure.

- **Populations and Interventions**:
  - **Populations**: PLHIV, children, adolescents, pregnant and breastfeeding women, healthcare workers, prisoners, and household contacts of TB patients.
  - **Interventions**: TB screening, TPT, ART initiation, and management of drug toxicities.

- **Unique Recommendations**:
  - **ART Timing**: Initiate ART within 2 weeks of starting TB treatment, except in TB meningitis where a delay of 4-8 weeks is advised.
  - **TPT Eligibility**: Includes all PLHIV above 12 months without active TB, with specific regimens based on age and ART status.
  - **Drug Toxicity Management**: Detailed protocols for managing peripheral neuropathy, DILI, and skin rash, with specific actions based on severity.

- **Synonyms and Abbreviations**:
  - **TB**: Tuberculosis
  - **PLHIV**: People Living with HIV
  - **ART**: Antiretroviral Therapy
  - **TPT**: TB Preventive Therapy
  - **ICF**: Intensified Case Finding
  - **GeneXpert**: A molecular test for TB diagnosis
  - **DILI**: Drug-Induced Liver Injury
  - **3HP**: Rifapentine and Isoniazid regimen
  - **6H**: Isoniazid regimen

This chapter provides comprehensive guidelines for managing TB/HIV co-infection, with a focus on prevention, early detection, and integrated treatment strategies."
Chapter 15,"**Summary of Annex 16: Immune Reconstitution Inflammatory Syndrome (IRIS) in Kenya HIV Prevention and Treatment Guidelines, 2022**

- **Definition and Classification**: IRIS is an inflammatory reaction occurring in patients who have started antiretroviral therapy (ART) and experience immune system recovery. It is classified into two types: Unmasked IRIS, where a previously undiagnosed opportunistic infection (OI) appears, and Paradoxical IRIS, where a previously diagnosed disease worsens after ART initiation.
  
- **Risk Factors**: High-risk groups include patients with advanced immunosuppression (WHO Stage 3 or 4, CD4 count ≤ 200 cells/mm³, or CD4% ≤ 25% for children ≤ 5 years), those with diagnosed OIs like tuberculosis (TB), Mycobacterium avium complex (MAC), cytomegalovirus (CMV), and Pneumocystis pneumonia (PCP), low baseline CD4 count (≤ 50 cells/mm³ or CD4% ≤ 10%), and high baseline viral load.

- **Patient Evaluation**: Emphasizes history taking (symptoms, ARV history, adherence, viral load, CD4 count) and physical examination focusing on vital signs and affected systems. Screening for common OIs is recommended.

- **Diagnosis**: Suspect IRIS if clinical deterioration occurs weeks to months after ART initiation. Diagnosis is one of exclusion, ruling out drug reactions, non-adherence, active infections, or drug resistance. Presentations can be major (e.g., TB, MAC, cryptococcal meningitis, CMV retinitis) or minor (e.g., herpes simplex virus, varicella zoster virus).

- **Management**: Depends on severity. Mild IRIS may resolve with symptomatic treatment (NSAIDs, inhaled steroids, surgical interventions). Severe IRIS requires treating the OI and managing inflammation with corticosteroids (except in Kaposi's sarcoma-related IRIS). Monitor for side effects of corticosteroids.

- **Unique Recommendations**: Avoid corticosteroids in Kaposi's sarcoma-related IRIS. Monitor for hyperglycemia, hypertension, mental status changes, avascular necrosis, and infection risks in patients on corticosteroids.

This chapter is distinct in its focus on the diagnosis, risk factors, and management of IRIS, a condition that arises specifically in the context of ART and immune recovery in HIV patients."
Chapter 16,"**Chapter 7: Prevention of Mother to Child Transmission of HIV/Syphilis/Hepatitis B**

- **Antenatal Care (ANC) Integration**: Emphasizes routine ANC as a platform for comprehensive prevention of mother-to-child transmission (PMTCT) of HIV, syphilis, and hepatitis B. Includes health education, HIV testing for women and partners, and planning for future conception and contraception.
  
- **Education and Counselling**: Highlights the importance of at least 8 ANC visits, nutrition, personal care, and birth preparedness. Special focus on HIV prevention, including pre-exposure prophylaxis (PrEP) and antiretroviral therapy (ART) adherence for HIV-positive women.

- **HIV Testing and Monitoring**: Recommends HIV, syphilis, and hepatitis B testing for all pregnant women at the first ANC visit, with repeat testing in the third trimester. Special testing schedules for key populations and breastfeeding mothers.

- **ART for HIV-positive Women**: ART initiation for all pregnant and breastfeeding women with HIV, regardless of clinical stage or CD4 count, to achieve viral suppression. First-line ART regimen: TDF/3TC/DTG. Monitoring includes viral load testing every 3-6 months.

- **Infant Prophylaxis**: AZT+NVP for 6 weeks, with continuation of NVP until 6 weeks post-breastfeeding cessation. Special regimens for infants with TB or intolerance to standard prophylaxis.

- **Syphilis and Hepatitis B Management**: Dual HIV/syphilis testing recommended during pregnancy. Treatment for syphilis-positive mothers and infants. Hepatitis B management includes antiviral treatment for HBsAg-positive mothers and vaccination for infants.

- **Breastfeeding Guidelines**: Advocates exclusive breastfeeding for the first 6 months, with continued breastfeeding up to 24 months. HIV-positive mothers and infants should remain on ART with adherence support.

- **Special Populations**: Additional support for high-risk groups, including adolescents, those with high viral loads, and those with poor social support.

- **Unique Recommendations**: Triple elimination strategy for HIV, syphilis, and hepatitis B. Emphasis on integrated care and support for both mothers and infants, with specific protocols for various clinical scenarios."
Chapter 17,"### Chapter 9: HBV/HIV and HCV/HIV Co-infection Prevention and Management

- **Hepatitis B/HIV Co-infection (Section 9.1):**
  - **Screening:** All HIV-positive individuals, including adolescents, adults, and children lacking full immunization, should be screened for HBV using HBsAg. High-risk groups include household/sexual contacts of HBsAg-positive individuals, pregnant women, PWID, MSM, sex workers, and prisoners.
  - **Prevention:** HBV vaccination is recommended for HIV-positive individuals without HBV infection. General preventive measures include hand hygiene, PPE use, safe disposal of sharps, and harm reduction for PWID.
  - **Treatment:** ART initiation is recommended for all HIV/HBV co-infected patients, regardless of CD4 count or liver disease stage. The preferred ART regimen is TDF + 3TC + DTG. Dose adjustments for TDF and 3TC are necessary in renal impairment.
  - **Monitoring:** Frequent ALT monitoring is advised due to increased hepatotoxicity risk. ALT elevations up to 5-10 times normal can be tolerated initially if the patient remains stable.
  - **Treatment Interruption:** Avoid stopping TDF-containing ART to prevent HBV flare-ups.

- **Hepatitis C/HIV Co-infection (Section 9.2):**
  - **Screening:** HCV serology is recommended for at-risk individuals, including PWID, those with tattoos or piercings, and children of HCV-positive mothers. Confirm chronic infection with HCV RNA testing.
  - **Prevention:** Emphasizes blood-borne infection prevention, including hand hygiene, safe sharps disposal, and harm reduction for PWID. Sexual transmission prevention includes condom use and STI screening.
  - **Treatment:** Direct-acting antivirals (DAAs) like Sofosbuvir + Ledipasvir or Sofosbuvir + Velpatasvir are recommended for HCV treatment. Regular updates on DAA regimens and drug interactions with ARVs are advised.

This chapter uniquely addresses the complexities of managing HBV and HCV co-infections in HIV-positive populations, highlighting specific screening, prevention, and treatment strategies, as well as the importance of monitoring and managing drug interactions and hepatotoxicity."
Chapter 18,"**Summary of Annex 14: Health Facility Assessment for Community ART Distribution**

- **Purpose**: This chapter provides a framework for assessing health facilities' readiness to implement community-based Antiretroviral Therapy (ART) distribution in Kenya.
- **Key Domains Assessed**:
  - **Leadership**: Identification of a focal person to oversee community ART distribution.
  - **Finance**: Availability of resources for implementation and monitoring.
  - **Human Resources**: Identification and training of personnel such as peer educators, lay counselors, and Community Health Volunteers for ART distribution.
  - **Service Delivery**: Achieving ≥ 90% routine viral load monitoring uptake and establishing fast-track ART distribution systems.
  - **Commodity Management**: Ensuring a minimum of three months' ART stock and appointing a focal person for pre-packing and labeling ART.
  - **Health Information Systems**: Systems to monitor patient outcomes (retention, loss to follow-up, mortality, viral load suppression) and establish recording/reporting for community ART.
- **Unique Recommendations**: Facilities can proceed with community ART distribution even if some criteria are unmet, provided there is a plan to address and monitor these gaps.
- **Assessment Outcome**: Facilities are either cleared to initiate community ART distribution or advised to implement recommendations and undergo re-assessment.
- **Keywords**: Community ART distribution, Antiretroviral Therapy, peer educators, lay counselors, Community Health Volunteers, viral load monitoring, fast-track ART, commodity management, health information systems, patient outcomes, retention, loss to follow-up, mortality, viral load suppression.

This chapter is distinct in its focus on the operational readiness of health facilities for community ART distribution, emphasizing a flexible approach to implementation based on local capacity and planning."
Chapter 19,"**Chapter 5: Adherence Preparation, Monitoring, and Support in HIV Care**

- **Focus**: This chapter emphasizes the critical role of adherence to antiretroviral therapy (ART) for people living with HIV (PLHIV) to prevent treatment failure and the need for second or third-line ART. It highlights the importance of adherence strategies from the point of HIV diagnosis through the entire treatment process.
  
- **Key Topics**:
  - **Adherence Strategies**: Initiated at HIV diagnosis, including post-test counseling, ART readiness assessment, and individualized adherence support plans.
  - **Adherence Monitoring**: Utilizes tools like the Morisky Medication Adherence Scale (MMAS-4 and MMAS-8), pill counts, and viral load (VL) monitoring to assess adherence levels.
  - **Support Systems**: Involvement of multidisciplinary teams, peer educators, and treatment supporters to enhance adherence.
  - **Special Populations**: Tailored adherence support for children, adolescents, pregnant women, and those with mental health issues or substance use disorders.
  - **U=U Campaign**: Promotes the message that undetectable viral load equals untransmittable HIV, reducing stigma and encouraging adherence.
  
- **Unique Recommendations**:
  - **Rapid ART Initiation**: ART should be started within two weeks of diagnosis for all PLHIV.
  - **Enhanced Adherence Counseling**: For patients with unsuppressed VL (≥200 copies/ml), focusing on identifying and addressing barriers to adherence.
  - **Case Management**: For high-risk patients, including those with treatment failure or significant adherence challenges.
  - **Home Visits and DOTs**: Directly observed therapy and home visits for patients with adherence issues.
  
- **Interventions**:
  - **Psychosocial Support**: Addressing stigma, mental health, and social barriers.
  - **Education and Counseling**: Continuous HIV education and counseling tailored to individual needs.
  - **Operational Guidance**: Engaging PLHIV as peer educators and support group leaders.
  
- **Special Scenarios**:
  - **Treatment Preparation for 2nd/3rd Line ART**: Detailed counseling and education for patients transitioning to more complex ART regimens.
  - **Default Management**: Systems for identifying and tracing patients who miss appointments to re-engage them in care.

This chapter provides a comprehensive framework for ensuring high adherence to ART, crucial for achieving viral suppression and improving health outcomes in PLHIV."
Chapter 20,"**Summary of Annex 9 A: Enhanced Adherence Counselling Content Guide**

This chapter focuses on enhanced adherence counseling for patients with suspected or confirmed antiretroviral therapy (ART) treatment failure, emphasizing the importance of understanding viral load (VL) metrics such as 'high viral load' and 'suppressed viral load'. It outlines a structured approach to counseling, including assessing cognitive, behavioral, emotional, and socio-economic barriers to adherence. Key topics include the role of drug interactions, side effects, and the impact of mental health issues like depression on adherence. The guide provides specific strategies for addressing barriers, such as using reminder tools, adjusting medication schedules, and leveraging support systems like treatment buddies and support groups. It also covers the importance of referrals to additional services, such as social and psychological support, and the development of personalized adherence plans. Unique recommendations include the use of motivational tools and the PHQ-9 for depression screening. The chapter highlights the need for follow-up sessions to reassess adherence and adjust plans as necessary, with a focus on achieving viral suppression. Special scenarios include managing adherence in the context of alcohol or drug use and addressing stigma and discrimination."
Chapter 21,"- **Chapter Title**: Annexes - WHO Clinical Staging of HIV Infection in Infants and Children
- **Unique Focus**: This chapter provides a detailed classification system for staging HIV infection specifically in infants and children, differentiating it from other chapters that may focus on adults or general treatment guidelines.
- **Clinical Topics**: 
  - WHO Clinical Staging of HIV
  - Pediatric HIV infection
  - Disease progression in HIV-positive children
- **Stages and Conditions**:
  - **Stage I**: Asymptomatic, Persistent Generalized Lymphadenopathy (PGL), Unexplained Hepatosplenomegaly
  - **Stage II**: Papular Pruritic Eruptions (PPE), Seborrheic Dermatitis, Fungal Nail Infections, Angular Cheilitis, Linear Gingival Erythema, Extensive HPV/Molluscum, Recurrent Oral Ulcerations, Parotid Enlargement, Herpes Zoster, Recurrent/Chronic Upper Respiratory Infections (URI)
  - **Stage III**: Moderate Malnutrition, Persistent Diarrhea, Persistent Fever, Oral Candidiasis, Oral Hairy Leukoplakia, Pulmonary Tuberculosis, Severe Bacterial Pneumonia, Acute Necrotizing Ulcerative Gingivitis/Periodontitis, Lymphoid Interstitial Pneumonitis (LIP), Unexplained Anemia, Neutropenia, Thrombocytopenia, HIV-related Cardiomyopathy, Nephropathy
  - **Stage IV**: Severe Wasting/Malnutrition, Pneumocystis Pneumonia, Severe Bacterial Infections, Chronic HSV, Extra-pulmonary Tuberculosis, Kaposi's Sarcoma, Esophageal Candidiasis, CNS Toxoplasmosis, Cryptococcal Meningitis, Disseminated Mycosis, Cryptosporidiosis, Isosporiasis, CMV Infection, Disseminated Mycobacterial Disease, Tracheal/Bronchial/Lung Candidiasis, Recto-vesicular Fistula, Non-Hodgkin's Lymphoma, Progressive Multifocal Leukoencephalopathy (PML), HIV Encephalopathy
- **Populations**: Infants and children confirmed to be HIV-infected via serology or DNA PCR
- **Interventions**: Clinical staging to assess disease progression and guide treatment decisions
- **Unique Recommendations**: Staging should only be performed on children confirmed to be HIV-infected, emphasizing the importance of accurate diagnosis before staging.
- **Keywords**: Pediatric HIV, WHO staging, HIV progression, infant HIV, child HIV, clinical staging, serology, DNA PCR, disease classification, HIV symptoms in children"
Chapter 22,"- **Chapter Focus**: This chapter, Annex 15, is dedicated to the calculation of creatinine clearance, a critical measure for assessing kidney function, particularly in the context of HIV treatment and management.
- **Clinical Topics**: The chapter provides detailed formulas for estimating glomerular filtration rate (GFR) using creatinine clearance in both adults and pediatric populations, including infants, children, and adolescents.
- **Formulas and Calculations**:
  - **Adults**: Utilizes the Cockcroft-Gault formula, which incorporates age, body mass (in kg), and serum creatinine (SCr) levels, with adjustments for sex (1.23 multiplier for males, 1.04 for females).
  - **Children and Adolescents**: Uses a height-based formula with a constant (k) that varies by age and sex: 0.45 for infants under 1 year, 0.55 for children aged 1-10 years, 0.55 for female adolescents aged 11-19 years, and 0.70 for male adolescents aged 11-19 years.
- **Populations**: The chapter addresses both adult and pediatric populations, with specific considerations for infants, children, and adolescents up to 19 years old.
- **Keywords and Synonyms**: Creatinine clearance, GFR, glomerular filtration rate, Cockcroft-Gault formula, eGFR, serum creatinine, renal function, kidney function, pediatric nephrology.
- **Unique Recommendations**: The chapter provides specific constants for calculating eGFR in pediatric populations, highlighting the importance of age and sex in determining renal function in younger patients.
- **Special Scenarios**: Emphasizes the need for different calculation methods and constants based on age and sex, which is crucial for accurate assessment in diverse patient groups."
Chapter 23,"- **Chapter Focus**: This chapter, ""Annex 6: Transitioning from Adolescent to Adult HIV Services,"" is distinct in its focus on the structured transition process for adolescents living with HIV as they move from pediatric to adult healthcare services.
  
- **Major Clinical Topics**: 
  - Transition process for adolescents with HIV
  - Age-specific goals for early, mid, and late adolescence
  - Full disclosure of HIV status
  - Understanding HIV and prevention measures
  - Medication adherence and appointment keeping
  - Psychosocial support and support group involvement

- **Age-Specific Goals**:
  - **Early Adolescence (10-12 years)**: Full disclosure of HIV status, understanding HIV and prevention, linking to adolescent support groups.
  - **Mid Adolescence (13-16 years)**: Understanding medication and adherence, encouraging appointment keeping, support group membership.
  - **Late Adolescence (17-19 years)**: Demonstrated understanding of medication adherence, prompt appointment keeping.

- **Unique Recommendations**:
  - Transition initiation at age 10
  - Specific goals for each developmental stage
  - Transfer of medical records and orientation in adult clinic upon successful transition
  - Continued psychosocial support for those not ready to transition

- **Special Scenarios**:
  - Adolescents who do not meet developmental goals at each stage are provided with additional support to achieve these goals before transitioning.
  - Adolescents who decline transition at age 19 continue to receive psychosocial support to prepare for eventual transition.

- **Keywords**: Adolescent HIV transition, pediatric to adult HIV care, HIV disclosure, medication adherence, psychosocial support, support groups, medical record transfer, HIV prevention, appointment adherence."
Chapter 24,"- **Chapter Title**: Annex 7: 2018 HIV Testing Services Algorithm
- **Focus**: This chapter provides a detailed algorithm for HIV testing services, emphasizing the sequence of screening, confirmatory testing, and reporting results.
- **Key Topics**:
  - **Screening and Testing**: Initial screening leads to either a non-reactive or reactive result, followed by confirmatory testing for reactive cases.
  - **Result Interpretation**: Non-reactive results are reported as negative, while reactive results undergo further confirmatory testing.
  - **Inconclusive Results**: Inconclusive outcomes require referral to a Comprehensive Care Clinic (CCC) for additional testing.
  - **Retesting Protocols**: Special retesting procedures are outlined for settings without CCCs, such as Maternal and Child Health (MCH) clinics and wards, requiring a different provider and a second specimen.
- **Unique Recommendations**:
  - **TIE BREAKER**: The use of a TIE BREAKER test is explicitly discouraged in this algorithm.
  - **DNA PCR Testing**: For persistent inconclusive results, dried blood spot (DBS) samples should be collected and sent for DNA PCR testing.
- **Populations and Settings**:
  - **Comprehensive Care Clinics (CCC)**: Central to managing inconclusive cases and retesting.
  - **Maternal and Child Health (MCH) Clinics**: Specific retesting guidelines are provided for these settings.
- **Interventions**:
  - **Enrollment to Care**: Positive results lead to enrollment in care and treatment programs.
  - **Referral and Retesting**: Inconclusive results necessitate referral and potential retesting after two weeks.
- **Keywords**: HIV testing, screening, confirmatory test, non-reactive, reactive, inconclusive, Comprehensive Care Clinic (CCC), Maternal and Child Health (MCH), DNA PCR, TIE BREAKER, retesting, dried blood spot (DBS)."
Chapter 25,"**Summary of Annex 11: Overlapping Toxicities between Antiretrovirals (ARVs)**

- **Focus**: This chapter specifically addresses the overlapping toxicities associated with antiretroviral (ARV) drugs, differentiating it from other chapters that may focus on treatment protocols or specific patient populations.
- **Major Toxicities Discussed**:
  - **Bone Marrow Suppression**: Associated with drugs such as Amphotericin B, Cotrimoxazole, Dapsone, Flucytosine, Ganciclovir, Hydroxyurea, Interferon, Primaquine, Pyrimethamine, and Zidovudine.
  - **Peripheral Neuropathy**: Linked to Didanosine, Isoniazid, and Vincristine.
  - **Pancreatitis**: Noted with Didanosine, Lamivudine (especially in children), Stavudine, Cotrimoxazole, Ritonavir, and Pentamidine.
  - **Nephrotoxicity**: Associated with Acyclovir, high-dose Adefovir, Aminoglycosides, Amphotericin B, Cidofovir, Foscarnet, Pentamidine, and Tenofovir.
  - **Hepatotoxicity**: Related to Abacavir, Atazanavir, Atovaquone, Cotrimoxazole, Dapsone, Efavirenz, Nevirapine, Sulfadiazine, and Voriconazole.
  - **Rash**: Caused by Abacavir, Atazanavir, Atovaquone, Cotrimoxazole, Dapsone, Efavirenz, Nevirapine, Sulfadiazine, and Voriconazole.
  - **Diarrhea**: Linked to Atovaquone, Clindamycin, and Lopinavir/ritonavir (LPV/r).
  - **Ocular Effects**: Associated with Cidofovir, Ethambutol, Linezolid, Rifabutin, and Voriconazole.
- **Unique Recommendations**: The chapter provides a comprehensive list of drugs with overlapping toxicities, which is crucial for clinicians to consider when prescribing ARVs to avoid compounding adverse effects.
- **Keywords and Synonyms**: ARVs, antiretrovirals, toxicities, side effects, overlapping toxicities, bone marrow suppression, peripheral neuropathy, pancreatitis, nephrotoxicity, hepatotoxicity, rash, diarrhea, ocular effects, drug interactions, adverse effects.

This summary is designed to assist clinicians in identifying potential overlapping toxicities when prescribing ARVs, ensuring safer and more effective treatment plans for patients with HIV."
Chapter 26,"**Chapter 11: Pre-Exposure Prophylaxis (PrEP) in HIV Guidelines**

This chapter focuses on the use of Pre-Exposure Prophylaxis (PrEP) as a preventive measure against HIV infection for individuals at ongoing risk. It details the indications, eligibility criteria, and recommended antiretroviral regimens for PrEP, including daily oral PrEP and event-driven (ED) PrEP. Key populations include HIV-negative individuals with high-risk behaviors, such as those in sero-discordant relationships, sex workers, and people who inject drugs. The chapter emphasizes the importance of HIV risk assessment, using a Risk Assessment Tool (RAST), and integrating PrEP services within various healthcare settings. It outlines the preferred ARV regimen of Tenofovir/Emtricitabine (TDF/FTC) and alternative options like TDF/3TC, as well as long-acting products like Cabotegravir injections and the Dapivirine vaginal ring. Unique recommendations include the use of ED-PrEP for men not on estradiol-based hormones and the need for specific follow-up protocols. The chapter also covers contraindications, such as impaired renal function and suspected acute HIV infection, and criteria for discontinuing PrEP. Strategies to improve adherence, manage sero-conversion, and monitor clinical and laboratory results are discussed, highlighting the importance of adherence to prevent drug resistance."
Chapter 27,"**Annex 10 A: Dosing of Solid and Liquid Formulations for Twice-Daily Dosing in Infants and Children 4 Weeks of Age and Older**

- **Target Population**: Infants and children aged 4 weeks and older.
- **Drugs and Formulations**: 
  - **AZT/3TC** (Zidovudine/Lamivudine): Dispersible tablets (60/30 mg) and adult tablets (300/150 mg).
  - **AZT/3TC/NVP** (Zidovudine/Lamivudine/Nevirapine): Dispersible tablets (60/30/50 mg) and adult tablets (300/150/200 mg).
  - **ABC/3TC** (Abacavir/Lamivudine): Dispersible tablets (120/60 mg) and adult tablets (600/300 mg).
  - **ABC/3TC/LPV/r** (Abacavir/Lamivudine/Lopinavir/Ritonavir): Dispersible tablets (30/15/40/10 mg).
  - **Single Formulations**: AZT, ABC, NVP, LPV/r, DRV (Darunavir), RAL (Raltegravir) in various strengths and forms.
- **Dosing Guidelines**: 
  - Dosing is weight-band specific, with detailed instructions for both morning (AM) and evening (PM) doses.
  - Includes both solid (tablets, chewable tablets) and liquid (oral solutions, granules) formulations.
- **Special Recommendations**:
  - **NVP Dose Escalation**: Initiate with half dose for 2 weeks for infants >2 weeks not on NVP prophylaxis to avoid toxicity.
  - **LPV/r Tablets**: Must be swallowed whole; not to be split or crushed. Transition to tablets as soon as the child can swallow them.
  - **RAL Granules**: Limited availability and complex administration; consult clinical support if necessary.
- **Unique Considerations**:
  - **Heat-Stable LPV/r Tablets**: Specific instructions for use in children who can swallow tablets.
  - **Granule Formulations**: For infants over 2 weeks; transition to tablets when possible.
- **Synonyms and Abbreviations**:
  - AZT (Zidovudine), 3TC (Lamivudine), NVP (Nevirapine), ABC (Abacavir), LPV/r (Lopinavir/Ritonavir), DRV (Darunavir), RAL (Raltegravir).
- **Exceptions**: Infants younger than 4 weeks should refer to Table 10C for dosing."
Chapter 28,"**Chapter 6: Antiretroviral Therapy in Infants, Children, Adolescents, and Adults**

- **Overview**: This chapter focuses on the use of Antiretroviral Therapy (ART) across different age groups, including infants, children, adolescents, and adults. It emphasizes the importance of achieving and maintaining an undetectable viral load (VL) to prevent HIV-related complications and transmission.

- **Eligibility and Timing**: All individuals with confirmed HIV infection are eligible for ART, regardless of CD4 count, age, pregnancy, or co-infections. ART should be initiated as soon as possible, ideally within two weeks of diagnosis, with same-day initiation recommended for certain populations, such as pregnant women and infants.

- **First-Line ART Regimens**: Preferred regimens include combinations of drugs like Dolutegravir (DTG), Tenofovir (TDF), Lamivudine (3TC), and Abacavir (ABC). Weight-based dosing is crucial for children, and caregivers play a significant role in adherence.

- **Special Considerations**: The chapter outlines specific scenarios for ART initiation, such as in patients with tuberculosis (TB) or cryptococcal meningitis, and those with adherence challenges. It also discusses regimen optimization for patients with suppressed VL.

- **Drug-Specific Information**: Detailed guidance on the use of DTG, including dosing adjustments for drug interactions (e.g., with rifampicin) and management of side effects like insomnia and weight gain. DTG is safe during pregnancy and breastfeeding.

- **Adverse Drug Reactions (ADRs)**: Management of common ADRs associated with ART, such as ABC hypersensitivity, AZT-associated bone marrow suppression, and TDF-related renal toxicity. The chapter stresses the importance of pharmacovigilance.

- **Monitoring and Changing ART**: Regular VL monitoring is essential to assess treatment efficacy and detect treatment failure. The chapter provides algorithms for managing treatment failure and guidelines for switching regimens due to ADRs or drug-drug interactions.

- **Second and Third-Line ART**: Recommendations for second-line regimens following first-line treatment failure, with emphasis on the use of Drug Resistance Testing (DRT) to guide therapy. Third-line options are also discussed, particularly for children and adults with complex treatment histories.

- **Keywords**: ART, HIV, viral load, Dolutegravir (DTG), Tenofovir (TDF), Lamivudine (3TC), Abacavir (ABC), drug resistance, adherence, adverse drug reactions, pharmacovigilance, treatment failure, regimen optimization, infants, children, adolescents, adults, pregnancy, breastfeeding, tuberculosis (TB), cryptococcal meningitis."
